citation,ref_year,ref_author,reference_id
"Sieh, K.E., 1978, Large prehistoric earthquakes produced by slip on the San Andreas fault at Pallet Creek, California: Journal of Geophysical Research, v. 83, no. B8, p. 3907-3939.",1978,"Sieh, K.E.",1e
"Lawson, A.C., 1895, Sketch of the geology of the San Francisco peninsula, California: U.S. Geological Survey Annual Report, v. 15, p. 399-476.",1895,"Lawson, A.C.",1e
"Yule, D., Fumal, T., McGill, S., and Seitz, G., 2001, Active tectonics and paleoseismic record of the San Andreas fault, Wrightwood to Indio: Working toward a forecast for the next ""big event"", <i>in</i> Dunne, G., and Cooper, J., eds., Geologic excursions in the California deserts and adjacent Transverse Ranges: Geological Society of America Fieldtrip Guidebook and Volume prepared for the Joint Meeting of the Cordilleran Section GSA and Pacific Section AAPG, p. 91-126.",2001,"Yule, D., Fumal, T., McGill, S., and Seitz, G.",1e
"Weldon, R.J., II, and Sieh, K.E., 1985, Holocene rate of slip and tentative recurrence interval for large earthquakes on the San Andreas fault, Cajon Pass, southern California: Geological Society of America Bulletin, v. 96, no. 6, p. 793-812.",1985,"Weldon, R.J., II, and Sieh, K.E.",1e
"Fumal, T.E., Rymer, M.J., and Seitz, G.G., 2002, Timing of large earthquakes since A.D. 800 on the Mission Creek strand of the San Andreas fault zone at Thousand Palms Oasis, near Palm Springs, California: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2841-2860.",2002,"Fumal, T.E., Rymer, M.J., and Seitz, G.G.",1e
"Seitz, G.G., and Weldon, R.J., II, 1994, The paleoseismology of the southern San Andreas fault at Pitman Canyon, San Bernardino, California, <i>in</i> McGill, S.F., and Ross, T.M., eds., Geologic investigations of an active margin: Cordilleran Section Annual Meeting, San Bernardino, California, Field trip guidebook, v. 27, p. 152-156.",1994,"Seitz, G.G., and Weldon, R.J., II",1e
"Dibblee, T.W., Jr., 1968, Displacements on the San Andreas fault system in San Gabriel, San Bernardino, and San Jacinto Mountains, southern California, <i>in</i> Dickinson, W.R., and Grantz, A., eds., Proceedings of conference on geologic problems of San Andreas fault system: Palo Alto, California, Stanford University Publications in Geological Sciences, v. XI, p. 269-278.",1968,"Dibblee, T.W., Jr.",1e
"Hill, M.L., 1981, San Andreas fault—History of concepts: Geological Society of America Bulletin, v. 92, p. 112-131.",1981,"Hill, M.L.",1e
"Noble, L.F., 1926, The San Andreas rift and some other active faults in the desert region of southeastern California: Carnegie Institution of Washington Year Book 25, p. 415-428.",1926,"Noble, L.F.",1e
"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E., 1987, Was the 8 December 1812 California earthquake produced by the San Andreas fault?—Evidence from trees near Wrightwood [abs.]: Seismological Research Letters, v. 58, no. 1, p. 14.",1987,"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E.",1e
"Prentice, C.S., 1999, San Andreas fault—1906 earthquake and subsequent evolution of ideas: Geological Society of America Special Paper 338, p. 79-85.",1999,"Prentice, C.S.",1e
"Sieh, K.E., Stuiver, M., and Brillinger, D., 1989, A more precise chronology of earthquakes produced by the San Andreas fault in southern California: Journal of Geophysical Research, v. 94, no. B1, p. 603-623.",1989,"Sieh, K.E., Stuiver, M., and Brillinger, D.",1e
"Tocher, D., 1960, Creep on the San Andreas fault—Creep rate and related measurements at Vineyard, California: Bulletin of the Seismological Society of America, v. 50, no. 3, p. 396-404.",1960,"Tocher, D.",1e
"Bryant, W.A., 1985, Faults in the southern Hollister area, San Benito County, California: California Division of Mines and Geology Fault Evaluation Report FER-113, microfiche copy in California Division of Mines and Geology Open-File Report 90-11.",1985,"Bryant, W.A.",1e
"Working Group on California Earthquake Probabilities, 1995, Seismic hazards in southern California—Probable earthquakes, 1994 to 2024: Bulletin of the Seismological Society of America, v. 85, no. 2, p. 379-439.",1995,Working Group on California Earthquake Probabilities,1e
"Working Group on California Earthquake Probabilities, 1990, Probabilities of large earthquakes in the San Francisco Bay region, California: U.S. Geological Survey Circular 1053, 51 p.",1990,Working Group on California Earthquake Probabilities,1e
"Petersen, M.D., Bryant, W.A., Cramer, C.H., Cao, T., Reichle, M.S., Frankel, A.D., Lienkaemper, J.J., McCrory, P.A., and Schwartz, D.P., 1996, Probabilistic seismic hazard assessment for the State of California: California Department of Conservation, Division of Mines and Geology Open-File Report 96-08 (also U.S. Geological Open-File Report 96-706), 33 p.",1996,"Petersen, M.D., Bryant, W.A., Cramer, C.H., Cao, T., Reichle, M.S., Frankel, A.D., Lienkaemper, J.J., McCrory, P.A., and Schwartz, D.P.",1e
"Niemi, T.M., and Hall, N.T., 1992, Late Holocene slip rate and recurrence of great earthquakes on the San Andrea fault in northern California: Geology, v. 20, no. 3, p. 196-198.",1992,"Niemi, T.M., and Hall, N.T.",1e
"Dibblee, T.W., Jr., 1964, Geologic map of the San Gorgonio Mountain quadrangle San Bernardino and Riverside Counties, California: U.S. Geological Survey Miscellaneous Geologic Investigations Map I-431, 3 p. pamphlet, 1 sheet, scale 1:62,500.",1964,"Dibblee, T.W., Jr.",1e
"Grant, L.B., and Sieh, K., 1994, Paleoseismic evidence of clustered earthquakes on the San Andreas fault in the Carrizo Plain, California: Journal of Geophysical Research, v. 99, no. B4, p. 6819-6841.",1994,"Grant, L.B., and Sieh, K.",1e
"Working Group on Northern California Earthquake Potential (WGNCEP), 1996, Database of potential sources for earthquakes larger than magnitude 6 in northern California: U.S. Geological Survey Open-File Report 96-705, 40 p.",1996,Working Group on Northern California Earthquake Potential (WGNCEP),1e
"Hill, M.L., and Dibblee, T.W., Jr., 1953, San Andreas, Garlock, and Big Pine faults, California: Geological Society of America Bulletin, v. 64, p. 443–458.",1953,"Hill, M.L., and Dibblee, T.W., Jr.",1e
"Working Group on California Earthquake Probabilities, 1988, Probabilities of large earthquakes occurring in California on the San Andreas fault: U.S. Geological Survey Open-File Report 88-398, 62 p.",1988,Working Group on California Earthquake Probabilities,1e
"Lawson, A.C., chairman, 1908, The California earthquake of April 18, 1906—Report of the State Earthquake Investigation Commission: Washington, D.C., Carnegie Institution of Washington Publication 87.",1908,"Lawson, A.C., chairman",1e
"Sieh, K.E., and Jahns, R.H., 1984, Holocene activity of the San Andreas fault at Wallace Creek, California: Geological Society of America Bulletin, v. 95, p. 883-896.",1984,"Sieh, K.E., and Jahns, R.H.",1e
"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E., 1988, Irregular recurrence of large earthquakes along the San Andreas fault—Evidence from trees: Science, v. 241, p. 196-199.",1988,"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E.",1e
"Matti, J.C., and Morton, D.M., 1993, Paleogeographic evolution of the San Andreas fault in southern California—A reconstruction based on a new cross-fault correlation, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., ed., The San Andreas fault system—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 107-160.",1993,"Matti, J.C., and Morton, D.M.",1e
"Sims, J.D., 1993, Chronology of displacement on the San Andreas fault in central California—Evidence from reversed positions of exotic rock bodies near Parkfield, California, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., ed., The San Andreas fault system—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 231-256.",1993,"Sims, J.D.",1e
"Toppozada, T.R., and Borchardt, G., 1998, Re-evaluation of the 1836 ""Hayward fault"" and the 1938 San Andreas fault earthquakes: Bulletin  of the Seismological Society of America, v. 88, no. 1, p. 140-159.",1998,"Toppozada, T.R., and Borchardt, G.",1e
"Allen, C.R., 1957, San Andreas fault zone in San Gorgonio Pass, southern California: Geological Society of America Bulletin, v. 68, no. 3, p. 315-350.",1957,"Allen, C.R.",1e
"Noller, J.S., Simpson, G.D., and Lightfoot, K., 1996, Paleoseismic and geoarchaeologic investigations of the northern San Andreas fault, Fort Ross, California, <i>in</i> National Earthquake Hazards Reduction Program, Summaries of technical reports: U.S. Geological Survey, National Earthquake Hazards Reduction Program
External Research Program, Annual Project Summaries, v. 37, http://erp-web.er.usgs.gov/reports/annsum/vol37/nc/g2474.htm.",1996,"Noller, J.S., Simpson, G.D., and Lightfoot, K.",1e
"van der Woerd, J., Klinger, Y., Sieh, K., Tapponnier, P., and Ryerson, F.J., 2001, First long-term slip rate along the San Andreas fault based on 10Be-26Al surface exposure dating—The Biska Palms site, 23 mm/yr for the last 30,000 years [abs.]: Eos, Transactions of the American Geophysical Union, v. 82, p. 934.",2001,"van der Woerd, J., Klinger, Y., Sieh, K., Tapponnier, P., and Ryerson, F.J.",1e
"Dibblee, T.W., Jr., 1967, Geologic map of the Morongo Valley quadrangle San Bernardino and Riverside Counties, California: U.S. Geological Survey Miscellaneous Geologic Investigations Map I-517, 4 p. pamphlet, 1 sheet, scale 1:62,500.",1967,"Dibblee, T.W., Jr.",1e
"Bryant, W.A., 1980, San Andreas and Harris Ranch faults: California Division of Mines and Geology Fault Evaluation Report FER-99, microfiche copy in Division of Mines and Geology Open-File Report 90-11, scale 1:24,000.",1980,"Bryant, W.A.",1e
"Dibblee, T.W., Jr., 1981, Geologic map of the Palm Springs (15 minute) quadrangle, California: South Coast Geological Society, Geologic Map SCGS-3, scale 1:62,500.",1981,"Dibblee, T.W., Jr.",1e
"Bakun, W.H., and Lundh, A.G., 1985, The Parkfield, California, earthquake prediction experiment: Science, v. 229, no. 4714, p. 619-624.",1985,"Bakun, W.H., and Lundh, A.G.",1f
"Brown, R.D., Jr., 1970, Map showing recently active breaks along the San Andreas and related faults between the northern Gabilan Range and Cholame Valley, California: U.S. Geological Survey Miscellaneous Geologic Investigations I-575, 1 sheet, scale 1:62,500.",1970,"Brown, R.D., Jr.",1f
"Brown, R.D., Jr., Vedder, J.G., Wallace, R.E., Roth, E.F., Yerkes, R.F., Castle, R.O., Waananen, A.O., Page, R.W., and Eaton, J.P., 1967, The Parkfield-Cholame, California, earthquakes of June-August 1966—Surface geologic effects water-resources aspects, and preliminary seismic data: U.S. Geological Survey Professional Paper 579, 66 p.",1967,"Brown, R.D., Jr., Vedder, J.G., Wallace, R.E., Roth, E.F., Yerkes, R.F., Castle, R.O., Waananen, A.O., Page, R.W., and Eaton, J.P.",1f
"Burford, R.O., and Harsh, P.W., 1980, Slip on the San Andreas fault in central California from alignment array surveys: Bulletin of the Seismological Society of America, v. 70, no. 4, p. 1233-1261.",1980,"Burford, R.O., and Harsh, P.W.",1f
"Dibblee, T.W., Jr., 1971, Geologic map of the Parkfield quadrangle, California: U.S. Geological Survey Open-File Map, 1 pl., scale 1:62,500.",1971,"Dibblee, T.W., Jr.",1f
"Dibblee, T.W., Jr., 1974, Geologic map of the Shandon and Orchard Peak quadrangles, San Luis Obispo and Kern Counties, California: U.S. Geological Survey Miscellaneous Investigations Map I-0788, 2 sheets, scale 1:62,500.",1974,"Dibblee, T.W., Jr.",1f
"Hill, D.P., Eaton, J.P., and Jones, L.M., 1990, Seismicity—1980-1986, <i>in</i> Wallace, R.E., ed., The San Andreas fault system: U.S. Geological Survey Professional Paper 1515, p. 115-151.",1990,"Hill, D.P., Eaton, J.P., and Jones, L.M.",1f
"Jennings, C.W., 1994, Fault activity map of California and adjacent areas, with locations of recent volcanic eruptions: California Division of Mines and Geology Geologic Data Map 6, 92 p., 2 pls., scale 1:750,000.",1994,"Jennings, C.W.",1f
"Lienkaemper, J.J., and Brown, R.D., 1986, Map of faulting accompanying the 1966 Parkfield, California, earthquake: U.S. Geological Survey Open-File Report OFR 85-661, 3 pls., scale 1:12,000.",1986,"Lienkaemper, J.J., and Brown, R.D.",1f
"Lisowski, M., and Prescott, W.H., 1981, Short-range distance measurements along the San Andreas fault system in central California, 1972-1979: Bulletin of the Seismological Society of America, v. 71, no. 5, p. 1607-1624.",1981,"Lisowski, M., and Prescott, W.H.",1f
"Manson, M.W., 1985, San Andreas fault (Middle Mountain-Chalome Valley segment) and San Juan fault (north end), Monterey and San Luis Obispo Counties, California: California Division of Mines and Geology Fault Evaluation Report FER-171, microfiche copy in California Division of Mines and Geology Open-File Report 90-11, 10 p., scale 1:24,000.",1985,"Manson, M.W.",1f
"Petersen, M.D., Bryant, W.A., Cramer, C.H., Cao, T., Reichle, M.S., Frankel, A.D., Lienkaemper, J.J., McCrory, P.A., and Schwartz, D.P., 1996, Probabilistic seismic hazard assessment for the State of California: California Department of Conservation, Division of Mines and Geology Open-File Report 96-08 (also U.S. Geological Open-File Report 96-706), 33 p.",1996,"Petersen, M.D., Bryant, W.A., Cramer, C.H., Cao, T., Reichle, M.S., Frankel, A.D., Lienkaemper, J.J., McCrory, P.A., and Schwartz, D.P.",1f
"Schulz, S.S., Mavko, G.M., Burford, R.O., and Stuart, W.D., 1982, Long-term fault creep observations in central California: Journal of Geophysical Research, v. 87, no. B8, p. 6977-6982.",1982,"Schulz, S.S., Mavko, G.M., Burford, R.O., and Stuart, W.D.",1f
"Sims, J.D., 1987, Late Holocene slip rate along the San Andreas fault near Chalome, California: Geological Society of America Abstracts with Programs, v. 19, no. 6, p. 451.",1987,"Sims, J.D.",1f
"Sims, J.D., 1988, Geologic map of the San Andreas fault zone in the Cholame Valley and Cholame Hills quadrangles, San Luis Obispo and Monterey Counties, California: U.S. Geological Survey, Miscellaneous Field Studies Map MF-1995, scale 1:24,000.",1988,"Sims, J.D.",1f
"Sims, J.D., 1990, Geologic map of the San Andreas fault in the Parkfield 7.5-minute quadrangle, Monterey and Fresno Counties, California: U.S. Geological Survey, Miscellaneous Field Studies Map MF-2115, scale 1:24,000.",1990,"Sims, J.D.",1f
"Sims, J.D., and Hamilton, J.C., 1991, Geologic map of the Chalome quadrangle, San Luis Obispo County, California: U.S. Geological Survey, Miscellaneous Field Studies Map MF-2170, scale 1:24,000.",1991,"Sims, J.D., and Hamilton, J.C.",1f
"Toppozada, T., Branum, D., Reichle, M., and Hallstron, C., 2002, San Andreas fault zone, California, M > 5.5 earthquake history: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2555-2601.",2002,"Toppozada, T., Branum, D., Reichle, M., and Hallstron, C.",1f
"Sims, J.D., 1993, Chronology of displacement on the San Andreas fault in central California—Evidence from reversed positions of exotic rock bodies near Parkfield, California, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., ed., The San Andreas fault system—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 231-256.",1993,"Sims, J.D.",1f
"Allen, C.R., 1957, San Andreas fault zone in San Gorgonio Pass, southern California: Geological Society of America Bulletin, v. 68, no. 3, p. 315-350.",1957,"Allen, C.R.",1f
"Toppozada, T.R., and Borchardt, G., 1998, Re-evaluation of the 1836 ""Hayward fault"" and the 1938 San Andreas fault earthquakes: Bulletin  of the Seismological Society of America, v. 88, no. 1, p. 140-159.",1998,"Toppozada, T.R., and Borchardt, G.",1f
"Noller, J.S., Simpson, G.D., and Lightfoot, K., 1996, Paleoseismic and geoarchaeologic investigations of the northern San Andreas fault, Fort Ross, California, <i>in</i> National Earthquake Hazards Reduction Program, Summaries of technical reports: U.S. Geological Survey, National Earthquake Hazards Reduction Program
External Research Program, Annual Project Summaries, v. 37, http://erp-web.er.usgs.gov/reports/annsum/vol37/nc/g2474.htm.",1996,"Noller, J.S., Simpson, G.D., and Lightfoot, K.",1f
"van der Woerd, J., Klinger, Y., Sieh, K., Tapponnier, P., and Ryerson, F.J., 2001, First long-term slip rate along the San Andreas fault based on 10Be-26Al surface exposure dating—The Biska Palms site, 23 mm/yr for the last 30,000 years [abs.]: Eos, Transactions of the American Geophysical Union, v. 82, p. 934.",2001,"van der Woerd, J., Klinger, Y., Sieh, K., Tapponnier, P., and Ryerson, F.J.",1f
"Dibblee, T.W., Jr., 1967, Geologic map of the Morongo Valley quadrangle San Bernardino and Riverside Counties, California: U.S. Geological Survey Miscellaneous Geologic Investigations Map I-517, 4 p. pamphlet, 1 sheet, scale 1:62,500.",1967,"Dibblee, T.W., Jr.",1f
"Sykes, L.R., and Nishenko, S.P., 1984, Probabilities of occurrence of large plate rupturing earthquakes for the San Andreas, San Jacinto, and Imperial faults, California: Journal of Geophysical Research, v. 89, no. B7, p. 5905-5927.",1984,"Sykes, L.R., and Nishenko, S.P.",1f
"Dibblee, T.W., Jr., 1981, Geologic map of the Palm Springs (15 minute) quadrangle, California: South Coast Geological Society, Geologic Map SCGS-3, scale 1:62,500.",1981,"Dibblee, T.W., Jr.",1f
"Schwartz, D.P., Pantosti, D., Okumura, K., Powers, T.J., and Hamilton, J.C., 1998, Paleoseismic investigations in the Santa Cruz Mountains, California—Implications for recurrence of large-magnitude earthquakes on the San Andrea fault: Journal of Geophysical Research, v. 103, no. B8, p. 17,985-18,001.",1998,"Schwartz, D.P., Pantosti, D., Okumura, K., Powers, T.J., and Hamilton, J.C.",1f
"Hart, E.W., and Bryant, W.A., 1997, Fault-rupture hazard zones in California: California Division of Mines and Geology Special Report 42, 38 p.",1997,"Hart, E.W., and Bryant, W.A.",1f
"Wallace, R.E., 1970, Earthquake recurrence intervals on the San Andreas fault: Geological Society of America Bulletin, v. 81, p. 2875–2890.",1970,"Wallace, R.E.",1f
"Anderson, F.M., 1899, The geology of Point Reyes Peninsula: Berkeley, California, University of California Publications in Geological Sciences, v. 2, p. 119-153.",1899,"Anderson, F.M.",1f
"Sims, J.D., 1994, Stream channel offset and abandonment and a 200-year average recurrence interval of earthquakes on the San Andreas fault at Phelan Creek, Carrizo Plain, California, <i>in</i> Prentice, C.S., Schwartz, D.P., and Yeats, R.S., ed., Proceedings of the workshop on paleoseismology: U.S. Geological Survey Open-File Report 94-568, p. 170-172.",1994,"Sims, J.D.",1f
"Wallace, R.E., 1990, General features, <i>in</i> Wallace, R.E., ed., The San Andreas fault system: U.S. Geological Survey Professional Paper 1515, p. 3-12.",1990,"Wallace, R.E.",1f
"Lawson, A.C., 1893, The post-Pliocene diastrophism of the coast of southern California: Berkeley, California, University of California Publications in Geological Sciences, v. 1, p. 115-160.",1893,"Lawson, A.C.",1f
"Biasi, G.P., Weldon, R.J., II, Fumal, T.E., and Seitz, G.G., 2002, Paleoseismic event dating and the conditional probability of large earthquakes on the southern San Andreas fault, California: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2761-2781.",2002,"Biasi, G.P., Weldon, R.J., II, Fumal, T.E., and Seitz, G.G.",1f
"Stone, E.M., Grant, L.B., and Arrowsmith, J.R., 2002, Recent rupture history of the San Andreas fault, southwest of Cholame in the northern Carrizo Plain, California: Bulletin of the Seismological Society of America, v. 92, no. 3, p. 983-997.",2002,"Stone, E.M., Grant, L.B., and Arrowsmith, J.R.",1f
"Weldon, R.J., II, Meisling, K.E., and Alexander, J., 1993, A speculative history of the San Andreas fault in the central Transverse Ranges, California, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., eds., The San Andreas fault system—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 161-198.",1993,"Weldon, R.J., II, Meisling, K.E., and Alexander, J.",1f
"Stanley, R.G., 1987, New estimates of displacement along the San Andreas fault in central California based on paleobathymetry and paleogeography: Geology, v. 15, no. 2, p. 171-174.",1987,"Stanley, R.G.",1f
"Sieh, K.E., and Williams, P.L., 1990, Behavior of the San Andreas fault during the past 300 years: Journal of Geophysical Research, v. 95, no. B5, p. 6629-6645.",1990,"Sieh, K.E., and Williams, P.L.",1f
"Wilson, J.T., 1965, A new class of faults and their bearing on continental drift: Nature, v. 207, p. 343-347.",1965,"Wilson, J.T.",1f
"Powell, R.E., 1993, Balanced palinspastic reconstruction of pre-late Cenozoic paleogeology, southern California—Geologic and kinematic constraints on evolution of the San Andreas fault system, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., ed., The San Andreas Fault System—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 1-106.",1993,"Powell, R.E.",1f
"Bakun, W.H., 1999, Seismic activity of the San Francisco Bay region: Bulletin of the Seismological Society of America, v. 89, no. 3, p. 764-784.",1999,"Bakun, W.H.",1f
"Matthews, V., III, 1976, Correlation of Pinnacles and Neenach volcanic formations and their bearing on San Andreas fault problem: Bulletin of the American Association of Petroleum Geologists, v. 60, no. 12, p. 2128-2141.",1976,"Matthews, V., III",1f
"Allen, C.R., 1968, The tectonic environments of seismically active and inactive areas along the San Andreas fault system, <i>in</i> Dickinson, W.R., and Grantz, A., eds., Proceedings of conference on geologic problems of San Andreas fault system: Palo Alto, California, Stanford University Publications, Geological Sciences, v. XI, p. 70-82.",1968,"Allen, C.R.",1f
"Hall, N.T., Wright, R.H., and Clahan, K.B., 1999, Paleoseismic studies of the San Francisco Peninsula segment of the San Andreas fault zone near Woodside, California: Journal of Geophysical Research, v. 104, no. B10, p. 23,215-23,236.",1999,"Hall, N.T., Wright, R.H., and Clahan, K.B.",1f
"Working Group on California Earthquake Probabilities, 1999, Earthquake probabilities in the San Francisco Bay region; 2000 to 2030—A summary of findings: U.S. Geological Survey Open-File Report 99-517, 60 p.",1999,Working Group on California Earthquake Probabilities,1f
"Schuyler, J.D., 1896-1897, Reservoirs for irrigation: U.S. Geological Survey, 18th Annual Report, part IV, p. 711-712.",1896-1897,"Schuyler, J.D.",1f
"Prentice, C.S., 1989, Earthquake geology of the northern San Andreas fault near Point Arena, California: Pasadena, California Institute of Technology, unpublished Ph.D. dissertation, 252 p.",1989,"Prentice, C.S.",1f
"Sieh, K.E., 1986, Slip rate across the San Andreas fault and prehistoric earthquakes at Indio, California [abs.]: Eos, Transactions of the American Geophysical Union, v. 67, no. 55, p. 1200.",1986,"Sieh, K.E.",1f
"Steinbrugge, K.V., and Zacher, E.G., 1960, Creep on the San Andreas fault—Fault creep and property damage: Bulletin of the Seismological Society of America, v. 50, no. 3, p. 389-396.",1960,"Steinbrugge, K.V., and Zacher, E.G.",1f
"Dibblee, T.W., Jr., 1982, Geology of the San Bernardino Mountains, southern California, <i>in</i> Fife, D.L., and Minch, J.A., eds., Geology and mineral wealth of the California Transverse Ranges—Mason Hill Volume: South Coast Geological Society Guidebook 10, p. 148-169.",1982,"Dibblee, T.W., Jr.",1f
"Matti, J.C., Morton, D.M., and Cox, B.F., 1992, The San Andreas fault system in the vicinity of the central Transverse Ranges province, southern California: U.S. Geological Survey Open-File Report 92-354, 49 p., 2 sheets, scale 1:125,000.",1992,"Matti, J.C., Morton, D.M., and Cox, B.F.",1f
"Harden, J.W., and Matti, J.C., 1989, Holocene and late Pleistocene slip rate on the San Andreas fault in Yucaipa, California, using displaced alluvial-fan deposits and soil chronology: Geological Society of America Bulletin, v. 101, p. 1107-1117.",1989,"Harden, J.W., and Matti, J.C.",1f
"Fumal, T.E., Weldon, R.J., II, Biasi, G.P., Dawson, T.E., Seitz, G.G., Frost, W.T., and Schartz, D.P., 2002, Evidence for large earthquakes on the San Andreas fault at the Wrightwood, California, paleoseismic site—A.D. 500 to present: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2726-2760.",2002,"Fumal, T.E., Weldon, R.J., II, Biasi, G.P., Dawson, T.E., Seitz, G.G., Frost, W.T., and Schartz, D.P.",1f
"Sieh, K.E., 1978, Large prehistoric earthquakes produced by slip on the San Andreas fault at Pallet Creek, California: Journal of Geophysical Research, v. 83, no. B8, p. 3907-3939.",1978,"Sieh, K.E.",1f
"Keller, E.A., Bonkowski, M.S., Korsch, R.J., and Shlemon, R.J., 1982, Tectonic geomorphology of the San Andreas fault zone in the southern Indio Hills, Coachella Valley, California: Geological Society of America Bulletin, v. 93, no. 1, p. 46-56.",1982,"Keller, E.A., Bonkowski, M.S., Korsch, R.J., and Shlemon, R.J.",1f
"Lawson, A.C., 1895, Sketch of the geology of the San Francisco peninsula, California: U.S. Geological Survey Annual Report, v. 15, p. 399-476.",1895,"Lawson, A.C.",1f
"Yule, D., Fumal, T., McGill, S., and Seitz, G., 2001, Active tectonics and paleoseismic record of the San Andreas fault, Wrightwood to Indio: Working toward a forecast for the next ""big event"", <i>in</i> Dunne, G., and Cooper, J., eds., Geologic excursions in the California deserts and adjacent Transverse Ranges: Geological Society of America Fieldtrip Guidebook and Volume prepared for the Joint Meeting of the Cordilleran Section GSA and Pacific Section AAPG, p. 91-126.",2001,"Yule, D., Fumal, T., McGill, S., and Seitz, G.",1f
"Weldon, R.J., II, and Sieh, K.E., 1985, Holocene rate of slip and tentative recurrence interval for large earthquakes on the San Andreas fault, Cajon Pass, southern California: Geological Society of America Bulletin, v. 96, no. 6, p. 793-812.",1985,"Weldon, R.J., II, and Sieh, K.E.",1f
"Fumal, T.E., Rymer, M.J., and Seitz, G.G., 2002, Timing of large earthquakes since A.D. 800 on the Mission Creek strand of the San Andreas fault zone at Thousand Palms Oasis, near Palm Springs, California: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2841-2860.",2002,"Fumal, T.E., Rymer, M.J., and Seitz, G.G.",1f
"Working Group on California Earthquake Probabilities, 1995, Seismic hazards in southern California—Probable earthquakes, 1994 to 2024: Bulletin of the Seismological Society of America, v. 85, no. 2, p. 379-439.",1995,Working Group on California Earthquake Probabilities,1f
"Seitz, G.G., and Weldon, R.J., II, 1994, The paleoseismology of the southern San Andreas fault at Pitman Canyon, San Bernardino, California, <i>in</i> McGill, S.F., and Ross, T.M., eds., Geologic investigations of an active margin: Cordilleran Section Annual Meeting, San Bernardino, California, Field trip guidebook, v. 27, p. 152-156.",1994,"Seitz, G.G., and Weldon, R.J., II",1f
"Working Group on California Earthquake Probabilities, 1990, Probabilities of large earthquakes in the San Francisco Bay region, California: U.S. Geological Survey Circular 1053, 51 p.",1990,Working Group on California Earthquake Probabilities,1f
"Dibblee, T.W., Jr., 1964, Geologic map of the San Gorgonio Mountain quadrangle San Bernardino and Riverside Counties, California: U.S. Geological Survey Miscellaneous Geologic Investigations Map I-431, 3 p. pamphlet, 1 sheet, scale 1:62,500.",1964,"Dibblee, T.W., Jr.",1f
"Niemi, T.M., and Hall, N.T., 1992, Late Holocene slip rate and recurrence of great earthquakes on the San Andrea fault in northern California: Geology, v. 20, no. 3, p. 196-198.",1992,"Niemi, T.M., and Hall, N.T.",1f
"Grant, L.B., and Sieh, K., 1994, Paleoseismic evidence of clustered earthquakes on the San Andreas fault in the Carrizo Plain, California: Journal of Geophysical Research, v. 99, no. B4, p. 6819-6841.",1994,"Grant, L.B., and Sieh, K.",1f
"Dibblee, T.W., Jr., 1968, Displacements on the San Andreas fault system in San Gabriel, San Bernardino, and San Jacinto Mountains, southern California, <i>in</i> Dickinson, W.R., and Grantz, A., eds., Proceedings of conference on geologic problems of San Andreas fault system: Palo Alto, California, Stanford University Publications in Geological Sciences, v. XI, p. 269-278.",1968,"Dibblee, T.W., Jr.",1f
"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E., 1987, Was the 8 December 1812 California earthquake produced by the San Andreas fault?—Evidence from trees near Wrightwood [abs.]: Seismological Research Letters, v. 58, no. 1, p. 14.",1987,"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E.",1f
"Noble, L.F., 1926, The San Andreas rift and some other active faults in the desert region of southeastern California: Carnegie Institution of Washington Year Book 25, p. 415-428.",1926,"Noble, L.F.",1f
"Hill, M.L., 1981, San Andreas fault—History of concepts: Geological Society of America Bulletin, v. 92, p. 112-131.",1981,"Hill, M.L.",1f
"Prentice, C.S., 1999, San Andreas fault—1906 earthquake and subsequent evolution of ideas: Geological Society of America Special Paper 338, p. 79-85.",1999,"Prentice, C.S.",1f
